ID,code,start,end,01 - Location third,02 - Location flank,03 - End location third,04 - End location flank,05 - Length,06 - Number of team events,07 - Outcome,09 - xG,11 - Start location X,12 - Start location Y,13 - Duration,14 - Formation,15 - End location X,16 - End location Y,10 - Players,08 - Transition
634,Ball in play,4582.173082,4610.414343,Middle third,Right flank,Final third,Left flank,Long,10-14,,,40,63,28,4-4-2,15,52,"5. Partey, 8. Ødegaard, 4. White, 41. Rice, 49. Lewis-Skelly, 19. Trossard, 15. Kiwior",Medium
635,Arsenal - Possessions,4582.173082,4610.414343,Middle third,Right flank,Final third,Left flank,Long,10-14,,,40,63,28,4-4-2,15,52,"5. Partey, 8. Ødegaard, 4. White, 41. Rice, 49. Lewis-Skelly, 19. Trossard, 15. Kiwior",Medium
636,Arsenal - Open play attacks,4582.173082,4610.414343,Middle third,Right flank,Final third,Left flank,Long,10-14,,,40,63,28,4-4-2,15,52,"5. Partey, 8. Ødegaard, 4. White, 41. Rice, 49. Lewis-Skelly, 19. Trossard, 15. Kiwior",Medium
637,Ball in play,4610.404343,4612.127812,Own third,Right flank,Own third,Right flank,Short,4 or less,,,15,52,1,5-4-1,89,22,16. Sugawara,Low
638,Southampton - Possessions,4610.404343,4612.127812,Own third,Right flank,Own third,Right flank,Short,4 or less,,,15,52,1,5-4-1,89,22,16. Sugawara,Low
639,Ball in play,4612.117812,4616.73081,Final third,Left flank,Final third,Center,Short,4 or less,Shot on goal,from 0.1 to 0.35,89,22,1,4-4-2,5,32,"23. Mikel Merino, 41. Rice",High
640,Arsenal - Possessions,4612.117812,4616.73081,Final third,Left flank,Final third,Center,Short,4 or less,Shot on goal,from 0.1 to 0.35,89,22,1,4-4-2,5,32,"23. Mikel Merino, 41. Rice",High
641,Arsenal - Highlights,4612.117812,4616.73081,Final third,Left flank,Final third,Center,Short,4 or less,Shot on goal,from 0.1 to 0.35,89,22,1,4-4-2,5,32,"23. Mikel Merino, 41. Rice",High
642,Arsenal - Open play attacks,4612.117812,4616.73081,Final third,Left flank,Final third,Center,Short,4 or less,Shot on goal,from 0.1 to 0.35,89,22,1,4-4-2,5,32,"23. Mikel Merino, 41. Rice",High
643,Arsenal - Shots,4612.117812,4616.73081,Final third,Left flank,Final third,Center,Short,4 or less,Shot on goal,from 0.1 to 0.35,89,22,1,4-4-2,5,32,"23. Mikel Merino, 41. Rice",High
644,Ball in play,4613.73081,4614.605735,Own third,Center,Own third,Center,Short,4 or less,,,5,32,0,5-4-1,100,37,30. Ramsdale,
645,Southampton - Possessions,4613.73081,4614.605735,Own third,Center,Own third,Center,Short,4 or less,,,5,32,0,5-4-1,100,37,30. Ramsdale,
646,Ball in play,4781.437436,4790.351841,Own third,Center,Final third,Right flank,Short,4 or less,,,6,35,7,5-4-1,84,68,"30. Ramsdale, 32. Onuachu, 21. Taylor",
647,Southampton - Possessions,4781.437436,4790.351841,Own third,Center,Final third,Right flank,Short,4 or less,,,6,35,7,5-4-1,84,68,"30. Ramsdale, 32. Onuachu, 21. Taylor",
648,Southampton - Goalkeeper distributions,4781.437436,4790.351841,Own third,Center,Final third,Right flank,Short,4 or less,,,6,35,7,5-4-1,84,68,"30. Ramsdale, 32. Onuachu, 21. Taylor",
649,Ball in play,4794.665922,4845.94504,Middle third,Left flank,Final third,Center,Very long,15 or more,,,37,0,50,4-4-2,13,24,"49. Lewis-Skelly, 41. Rice, 15. Kiwior, 5. Partey, 4. White, 8. Ødegaard, 7. Saka, 29. Havertz",
650,Arsenal - Possessions,4794.665922,4845.94504,Middle third,Left flank,Final third,Center,Very long,15 or more,,,37,0,50,4-4-2,13,24,"49. Lewis-Skelly, 41. Rice, 15. Kiwior, 5. Partey, 4. White, 8. Ødegaard, 7. Saka, 29. Havertz",
651,Arsenal - Set Pieces,4794.665922,4845.94504,Middle third,Left flank,Final third,Center,Very long,15 or more,,,37,0,50,4-4-2,13,24,"49. Lewis-Skelly, 41. Rice, 15. Kiwior, 5. Partey, 4. White, 8. Ødegaard, 7. Saka, 29. Havertz",
652,Arsenal - Throw ins,4794.665922,4845.94504,Middle third,Left flank,Final third,Center,Very long,15 or more,,,37,0,50,4-4-2,13,24,"49. Lewis-Skelly, 41. Rice, 15. Kiwior, 5. Partey, 4. White, 8. Ødegaard, 7. Saka, 29. Havertz",
653,Ball in play,4845.93504,4847.768179,Own third,Center,Own third,Center,Short,4 or less,,,13,24,1,5-4-1,95,33,26. Ugochukwu,Low
654,Southampton - Possessions,4845.93504,4847.768179,Own third,Center,Own third,Center,Short,4 or less,,,13,24,1,5-4-1,95,33,26. Ugochukwu,Low
655,Ball in play,4847.758179,4852.71865,Final third,Center,Final third,Center,Short,4 or less,Shot,less than 0.1,95,33,2,4-4-2,9,30,19. Trossard,High
656,Arsenal - Possessions,4847.758179,4852.71865,Final third,Center,Final third,Center,Short,4 or less,Shot,less than 0.1,95,33,2,4-4-2,9,30,19. Trossard,High
657,Arsenal - Open play attacks,4847.758179,4852.71865,Final third,Center,Final third,Center,Short,4 or less,Shot,less than 0.1,95,33,2,4-4-2,9,30,19. Trossard,High
658,Arsenal - Shots,4847.758179,4852.71865,Final third,Center,Final third,Center,Short,4 or less,Shot,less than 0.1,95,33,2,4-4-2,9,30,19. Trossard,High
659,Ball in play,4849.71865,4849.922353,Own third,Center,Own third,Center,Short,4 or less,,,9,30,0,5-4-1,90,37,21. Taylor,
660,Southampton - Possessions,4849.71865,4849.922353,Own third,Center,Own third,Center,Short,4 or less,,,9,30,0,5-4-1,90,37,21. Taylor,
661,Ball in play,4849.912353,4850.296598,Final third,Center,Final third,Center,Short,4 or less,,,90,37,0,4-4-2,14,37,4. White,
662,Arsenal - Possessions,4849.912353,4850.296598,Final third,Center,Final third,Center,Short,4 or less,,,90,37,0,4-4-2,14,37,4. White,
663,Ball in play,4850.286598,4855.025721,Own third,Center,Middle third,Left flank,Short,4 or less,,,14,37,2,5-4-1,48,48,8. Smallbone,
664,Southampton - Possessions,4850.286598,4855.025721,Own third,Center,Middle third,Left flank,Short,4 or less,,,14,37,2,5-4-1,48,48,8. Smallbone,
665,Ball in play,4855.015721,4865.841022,Middle third,Right flank,Final third,Center,Medium,5-9,,,48,48,10,4-4-2,28,34,"22. David Raya, 5. Partey, 8. Ødegaard, 29. Havertz",Medium
666,Arsenal - Possessions,4855.015721,4865.841022,Middle third,Right flank,Final third,Center,Medium,5-9,,,48,48,10,4-4-2,28,34,"22. David Raya, 5. Partey, 8. Ødegaard, 29. Havertz",Medium
667,Arsenal - Open play attacks,4855.015721,4865.841022,Middle third,Right flank,Final third,Center,Medium,5-9,,,48,48,10,4-4-2,28,34,"22. David Raya, 5. Partey, 8. Ødegaard, 29. Havertz",Medium
668,Arsenal - Goalkeeper distributions,4855.015721,4865.841022,Middle third,Right flank,Final third,Center,Medium,5-9,,,48,48,10,4-4-2,28,34,"22. David Raya, 5. Partey, 8. Ødegaard, 29. Havertz",Medium
669,Ball in play,4865.831022,4866.764917,Own third,Center,Own third,Center,Short,4 or less,,,28,34,0,5-4-1,81,39,32. Onuachu,
670,Southampton - Possessions,4865.831022,4866.764917,Own third,Center,Own third,Center,Short,4 or less,,,28,34,0,5-4-1,81,39,32. Onuachu,
671,Ball in play,4866.754917,4867.666077,Final third,Center,Final third,Center,Short,4 or less,,,81,39,0,4-4-2,15,39,41. Rice,High
672,Arsenal - Possessions,4866.754917,4867.666077,Final third,Center,Final third,Center,Short,4 or less,,,81,39,0,4-4-2,15,39,41. Rice,High
673,Ball in play,4867.656077,4870.539553,Own third,Center,Middle third,Left flank,Short,4 or less,,,15,39,2,5-4-1,69,56,"15. Wood, 19. Archer",Low
674,Southampton - Possessions,4867.656077,4870.539553,Own third,Center,Middle third,Left flank,Short,4 or less,,,15,39,2,5-4-1,69,56,"15. Wood, 19. Archer",Low
675,Ball in play,4870.529553,4875.352273,Middle third,Right flank,Middle third,Right flank,Short,4 or less,,,69,56,3,4-4-2,38,0,"5. Partey, 4. White",
676,Arsenal - Possessions,4870.529553,4875.352273,Middle third,Right flank,Middle third,Right flank,Short,4 or less,,,69,56,3,4-4-2,38,0,"5. Partey, 4. White",
677,Ball in play,4902.865069,4912.490495,Own third,Left flank,Middle third,Left flank,Short,5-9,,,32,0,6,5-4-1,54,0,"34. Welington, 32. Onuachu",
678,Southampton - Possessions,4902.865069,4912.490495,Own third,Left flank,Middle third,Left flank,Short,5-9,,,32,0,6,5-4-1,54,0,"34. Welington, 32. Onuachu",
679,Southampton - Set Pieces,4902.865069,4912.490495,Own third,Left flank,Middle third,Left flank,Short,5-9,,,32,0,6,5-4-1,54,0,"34. Welington, 32. Onuachu",
680,Southampton - Throw ins,4902.865069,4912.490495,Own third,Left flank,Middle third,Left flank,Short,5-9,,,32,0,6,5-4-1,54,0,"34. Welington, 32. Onuachu",
681,Ball in play,4925.959067,4928.205306,Middle third,Left flank,Final third,Left flank,Short,4 or less,,,57,0,1,5-4-1,30,56,34. Welington,
682,Southampton - Possessions,4925.959067,4928.205306,Middle third,Left flank,Final third,Left flank,Short,4 or less,,,57,0,1,5-4-1,30,56,34. Welington,
683,Southampton - Set Pieces,4925.959067,4928.205306,Middle third,Left flank,Final third,Left flank,Short,4 or less,,,57,0,1,5-4-1,30,56,34. Welington,
684,Southampton - Throw ins,4925.959067,4928.205306,Middle third,Left flank,Final third,Left flank,Short,4 or less,,,57,0,1,5-4-1,30,56,34. Welington,
685,Ball in play,4928.195306,4950.005369,Own third,Right flank,Final third,Right flank,Long,5-9,,,30,56,22,4-4-2,24,18,"41. Rice, 23. Mikel Merino, 19. Trossard, 49. Lewis-Skelly, 7. Saka, 4. White",Low
686,Arsenal - Possessions,4928.195306,4950.005369,Own third,Right flank,Final third,Right flank,Long,5-9,,,30,56,22,4-4-2,24,18,"41. Rice, 23. Mikel Merino, 19. Trossard, 49. Lewis-Skelly, 7. Saka, 4. White",Low
687,Arsenal - Open play attacks,4928.195306,4950.005369,Own third,Right flank,Final third,Right flank,Long,5-9,,,30,56,22,4-4-2,24,18,"41. Rice, 23. Mikel Merino, 19. Trossard, 49. Lewis-Skelly, 7. Saka, 4. White",Low
688,Arsenal - Crosses,4928.195306,4950.005369,Own third,Right flank,Final third,Right flank,Long,5-9,,,30,56,22,4-4-2,24,18,"41. Rice, 23. Mikel Merino, 19. Trossard, 49. Lewis-Skelly, 7. Saka, 4. White",Low
689,Ball in play,4949.995369,4954.893973,Own third,Left flank,Own third,Left flank,Short,4 or less,,,24,18,4,5-4-1,78,58,"19. Archer, 26. Ugochukwu",
690,Southampton - Possessions,4949.995369,4954.893973,Own third,Left flank,Own third,Left flank,Short,4 or less,,,24,18,4,5-4-1,78,58,"19. Archer, 26. Ugochukwu",
691,Ball in play,4954.883973,4955.410976,Final third,Right flank,Final third,Right flank,Short,4 or less,,,78,58,0,4-4-2,16,11,4. White,High
692,Arsenal - Possessions,4954.883973,4955.410976,Final third,Right flank,Final third,Right flank,Short,4 or less,,,78,58,0,4-4-2,16,11,4. White,High
693,Ball in play,4955.400976,4962.49733,Own third,Left flank,Own third,Left flank,Short,5-9,,,16,11,6,5-4-1,19,0,"34. Welington, 19. Archer",
694,Southampton - Possessions,4955.400976,4962.49733,Own third,Left flank,Own third,Left flank,Short,5-9,,,16,11,6,5-4-1,19,0,"34. Welington, 19. Archer",
695,Ball in play,5007.367571,5016.560225,Own third,Left flank,Middle third,Right flank,Short,4 or less,,,29,0,6,5-4-1,48,12,"34. Welington, 32. Onuachu, 8. Smallbone",
696,Southampton - Possessions,5007.367571,5016.560225,Own third,Left flank,Middle third,Right flank,Short,4 or less,,,29,0,6,5-4-1,48,12,"34. Welington, 32. Onuachu, 8. Smallbone",
697,Southampton - Set Pieces,5007.367571,5016.560225,Own third,Left flank,Middle third,Right flank,Short,4 or less,,,29,0,6,5-4-1,48,12,"34. Welington, 32. Onuachu, 8. Smallbone",
698,Southampton - Throw ins,5007.367571,5016.560225,Own third,Left flank,Middle third,Right flank,Short,4 or less,,,29,0,6,5-4-1,48,12,"34. Welington, 32. Onuachu, 8. Smallbone",
699,Ball in play,5016.550225,5051.552151,Middle third,Left flank,Final third,Center,Long,10-14,,,48,12,35,4-4-2,9,27,"49. Lewis-Skelly, 19. Trossard, 15. Kiwior, 5. Partey, 4. White, 29. Havertz",Medium
700,Arsenal - Possessions,5016.550225,5051.552151,Middle third,Left flank,Final third,Center,Long,10-14,,,48,12,35,4-4-2,9,27,"49. Lewis-Skelly, 19. Trossard, 15. Kiwior, 5. Partey, 4. White, 29. Havertz",Medium
701,Arsenal - Open play attacks,5016.550225,5051.552151,Middle third,Left flank,Final third,Center,Long,10-14,,,48,12,35,4-4-2,9,27,"49. Lewis-Skelly, 19. Trossard, 15. Kiwior, 5. Partey, 4. White, 29. Havertz",Medium
702,Arsenal - Crosses,5016.550225,5051.552151,Middle third,Left flank,Final third,Center,Long,10-14,,,48,12,35,4-4-2,9,27,"49. Lewis-Skelly, 19. Trossard, 15. Kiwior, 5. Partey, 4. White, 29. Havertz",Medium
703,Ball in play,5051.542151,5057.398233,Own third,Center,Own third,Center,Short,4 or less,,,9,27,5,5-4-1,76,25,"34. Welington, 26. Ugochukwu",Low
704,Southampton - Possessions,5051.542151,5057.398233,Own third,Center,Own third,Center,Short,4 or less,,,9,27,5,5-4-1,76,25,"34. Welington, 26. Ugochukwu",Low
705,Ball in play,5057.388233,5085.058737,Final third,Center,Final third,Center,Long,5-9,,,76,25,27,4-4-2,9,44,"5. Partey, 15. Kiwior, 19. Trossard, 8. Ødegaard, 7. Saka, 4. White",High
706,Arsenal - Possessions,5057.388233,5085.058737,Final third,Center,Final third,Center,Long,5-9,,,76,25,27,4-4-2,9,44,"5. Partey, 15. Kiwior, 19. Trossard, 8. Ødegaard, 7. Saka, 4. White",High
707,Arsenal - Open play attacks,5057.388233,5085.058737,Final third,Center,Final third,Center,Long,5-9,,,76,25,27,4-4-2,9,44,"5. Partey, 15. Kiwior, 19. Trossard, 8. Ødegaard, 7. Saka, 4. White",High
708,Arsenal - Crosses,5057.388233,5085.058737,Final third,Center,Final third,Center,Long,5-9,,,76,25,27,4-4-2,9,44,"5. Partey, 15. Kiwior, 19. Trossard, 8. Ødegaard, 7. Saka, 4. White",High
709,Ball in play,5085.048737,5099.999547,Own third,Center,Middle third,Left flank,Medium,4 or less,,,9,44,10,5-4-1,36,60,"16. Sugawara, 32. Onuachu, 21. Taylor",Low
710,Southampton - Possessions,5085.048737,5099.999547,Own third,Center,Middle third,Left flank,Medium,4 or less,,,9,44,10,5-4-1,36,60,"16. Sugawara, 32. Onuachu, 21. Taylor",Low
711,Ball in play,5099.989547,5114.224779,Middle third,Right flank,Final third,Right flank,Medium,4 or less,,,36,60,13,4-4-2,7,13,"22. David Raya, 8. Ødegaard, 4. White",Medium
712,Arsenal - Possessions,5099.989547,5114.224779,Middle third,Right flank,Final third,Right flank,Medium,4 or less,,,36,60,13,4-4-2,7,13,"22. David Raya, 8. Ødegaard, 4. White",Medium
713,Arsenal - Open play attacks,5099.989547,5114.224779,Middle third,Right flank,Final third,Right flank,Medium,4 or less,,,36,60,13,4-4-2,7,13,"22. David Raya, 8. Ødegaard, 4. White",Medium
714,Arsenal - Goalkeeper distributions,5099.989547,5114.224779,Middle third,Right flank,Final third,Right flank,Medium,4 or less,,,36,60,13,4-4-2,7,13,"22. David Raya, 8. Ødegaard, 4. White",Medium
715,Ball in play,5114.214779,5117.882107,Own third,Left flank,Own third,Left flank,Short,4 or less,,,7,13,2,5-4-1,6,0,34. Welington,
716,Southampton - Possessions,5114.214779,5117.882107,Own third,Left flank,Own third,Left flank,Short,4 or less,,,7,13,2,5-4-1,6,0,34. Welington,
717,Ball in play,5119.801452,5141.945089,Final third,Right flank,Final third,Center,Long,5-9,,,101,68,21,4-4-2,8,32,"4. White, 8. Ødegaard, 15. Kiwior, 5. Partey, 7. Saka",
718,Arsenal - Possessions,5119.801452,5141.945089,Final third,Right flank,Final third,Center,Long,5-9,,,101,68,21,4-4-2,8,32,"4. White, 8. Ødegaard, 15. Kiwior, 5. Partey, 7. Saka",
719,Arsenal - Set Pieces,5119.801452,5141.945089,Final third,Right flank,Final third,Center,Long,5-9,,,101,68,21,4-4-2,8,32,"4. White, 8. Ødegaard, 15. Kiwior, 5. Partey, 7. Saka",
720,Arsenal - Crosses,5119.801452,5141.945089,Final third,Right flank,Final third,Center,Long,5-9,,,101,68,21,4-4-2,8,32,"4. White, 8. Ødegaard, 15. Kiwior, 5. Partey, 7. Saka",
721,Arsenal - Throw ins,5119.801452,5141.945089,Final third,Right flank,Final third,Center,Long,5-9,,,101,68,21,4-4-2,8,32,"4. White, 8. Ødegaard, 15. Kiwior, 5. Partey, 7. Saka",
722,Ball in play,5141.935089,5144.325464,Own third,Center,Own third,Center,Short,4 or less,,,8,32,1,5-4-1,72,31,21. Taylor,Low
723,Southampton - Possessions,5141.935089,5144.325464,Own third,Center,Own third,Center,Short,4 or less,,,8,32,1,5-4-1,72,31,21. Taylor,Low
724,Ball in play,5144.315464,5149.762846,Final third,Center,Final third,Right flank,Short,4 or less,,,72,31,5,4-4-2,30,22,"15. Kiwior, 7. Saka, 41. Rice",High
725,Arsenal - Possessions,5144.315464,5149.762846,Final third,Center,Final third,Right flank,Short,4 or less,,,72,31,5,4-4-2,30,22,"15. Kiwior, 7. Saka, 41. Rice",High
726,Arsenal - Open play attacks,5144.315464,5149.762846,Final third,Center,Final third,Right flank,Short,4 or less,,,72,31,5,4-4-2,30,22,"15. Kiwior, 7. Saka, 41. Rice",High
727,Ball in play,5149.752846,5154.072246,Own third,Left flank,Own third,Left flank,Short,4 or less,,,30,22,2,5-4-1,23,0,8. Smallbone,
728,Southampton - Possessions,5149.752846,5154.072246,Own third,Left flank,Own third,Left flank,Short,4 or less,,,30,22,2,5-4-1,23,0,8. Smallbone,
729,Ball in play,5208.047421,5245.070954,Final third,Right flank,Final third,Center,Long,10-14,,,83,68,35,4-4-2,8,31,"4. White, 5. Partey, 8. Ødegaard, 15. Kiwior, 49. Lewis-Skelly, 19. Trossard, 7. Saka, 29. Havertz",
730,Arsenal - Possessions,5208.047421,5245.070954,Final third,Right flank,Final third,Center,Long,10-14,,,83,68,35,4-4-2,8,31,"4. White, 5. Partey, 8. Ødegaard, 15. Kiwior, 49. Lewis-Skelly, 19. Trossard, 7. Saka, 29. Havertz",
731,Arsenal - Set Pieces,5208.047421,5245.070954,Final third,Right flank,Final third,Center,Long,10-14,,,83,68,35,4-4-2,8,31,"4. White, 5. Partey, 8. Ødegaard, 15. Kiwior, 49. Lewis-Skelly, 19. Trossard, 7. Saka, 29. Havertz",
732,Arsenal - Crosses,5208.047421,5245.070954,Final third,Right flank,Final third,Center,Long,10-14,,,83,68,35,4-4-2,8,31,"4. White, 5. Partey, 8. Ødegaard, 15. Kiwior, 49. Lewis-Skelly, 19. Trossard, 7. Saka, 29. Havertz",
733,Arsenal - Throw ins,5208.047421,5245.070954,Final third,Right flank,Final third,Center,Long,10-14,,,83,68,35,4-4-2,8,31,"4. White, 5. Partey, 8. Ødegaard, 15. Kiwior, 49. Lewis-Skelly, 19. Trossard, 7. Saka, 29. Havertz",
734,Ball in play,5245.060954,5271.491649,Own third,Center,Final third,Center,Medium,4 or less,,,8,31,14,5-4-1,30,33,"21. Taylor, 30. Ramsdale",
735,Southampton - Possessions,5245.060954,5271.491649,Own third,Center,Final third,Center,Medium,4 or less,,,8,31,14,5-4-1,30,33,"21. Taylor, 30. Ramsdale",
736,Ball in play,5271.481649,5281.440495,Own third,Center,Own third,Right flank,Short,4 or less,,,30,33,9,4-4-2,90,0,"49. Lewis-Skelly, 41. Rice, 22. David Raya",
737,Arsenal - Possessions,5271.481649,5281.440495,Own third,Center,Own third,Right flank,Short,4 or less,,,30,33,9,4-4-2,90,0,"49. Lewis-Skelly, 41. Rice, 22. David Raya",
738,Ball in play,5316.717549,5319.249937,Final third,Left flank,Final third,Center,Short,4 or less,,,90,0,1,5-4-1,12,45,"34. Welington, 32. Onuachu",
739,Southampton - Possessions,5316.717549,5319.249937,Final third,Left flank,Final third,Center,Short,4 or less,,,90,0,1,5-4-1,12,45,"34. Welington, 32. Onuachu",
740,Southampton - Set Pieces,5316.717549,5319.249937,Final third,Left flank,Final third,Center,Short,4 or less,,,90,0,1,5-4-1,12,45,"34. Welington, 32. Onuachu",
741,Southampton - Throw ins,5316.717549,5319.249937,Final third,Left flank,Final third,Center,Short,4 or less,,,90,0,1,5-4-1,12,45,"34. Welington, 32. Onuachu",
742,Ball in play,5319.239937,5328.030503,Own third,Center,Middle third,Center,Short,5-9,,,12,45,8,4-4-2,56,24,"41. Rice, 4. White, 7. Saka, 8. Ødegaard, 5. Partey, 29. Havertz",Low
743,Arsenal - Possessions,5319.239937,5328.030503,Own third,Center,Middle third,Center,Short,5-9,,,12,45,8,4-4-2,56,24,"41. Rice, 4. White, 7. Saka, 8. Ødegaard, 5. Partey, 29. Havertz",Low
744,Ball in play,5328.020503,5337.623844,Middle third,Center,Middle third,Left flank,Short,4 or less,,,56,24,8,5-4-1,36,56,"21. Taylor, 30. Ramsdale",Medium
745,Southampton - Possessions,5328.020503,5337.623844,Middle third,Center,Middle third,Left flank,Short,4 or less,,,56,24,8,5-4-1,36,56,"21. Taylor, 30. Ramsdale",Medium
746,Ball in play,5337.613844,5344.109459,Middle third,Right flank,Final third,Right flank,Short,4 or less,,,36,56,5,4-4-2,18,14,"7. Saka, 8. Ødegaard",Medium
747,Arsenal - Possessions,5337.613844,5344.109459,Middle third,Right flank,Final third,Right flank,Short,4 or less,,,36,56,5,4-4-2,18,14,"7. Saka, 8. Ødegaard",Medium
748,Ball in play,5344.099459,5349.6696,Own third,Left flank,Own third,Left flank,Short,4 or less,,,18,14,4,5-4-1,71,54,21. Taylor,Low
749,Southampton - Possessions,5344.099459,5349.6696,Own third,Left flank,Own third,Left flank,Short,4 or less,,,18,14,4,5-4-1,71,54,21. Taylor,Low
750,Ball in play,5349.6596,5352.142085,Final third,Right flank,Middle third,Right flank,Short,4 or less,,,71,54,2,4-4-2,36,18,"41. Rice, 7. Saka",High
751,Arsenal - Possessions,5349.6596,5352.142085,Final third,Right flank,Middle third,Right flank,Short,4 or less,,,71,54,2,4-4-2,36,18,"41. Rice, 7. Saka",High
752,Arsenal - Open play attacks,5349.6596,5352.142085,Final third,Right flank,Middle third,Right flank,Short,4 or less,,,71,54,2,4-4-2,36,18,"41. Rice, 7. Saka",High
753,Ball in play,5352.132085,5372.418027,Middle third,Left flank,Final third,Right flank,Long,10-14,,,36,18,20,5-4-1,32,16,"19. Archer, 32. Onuachu, 8. Smallbone, 15. Wood, 16. Sugawara, 39. Sanda, 21. Taylor, 30. Ramsdale",Medium
754,Southampton - Possessions,5352.132085,5372.418027,Middle third,Left flank,Final third,Right flank,Long,10-14,,,36,18,20,5-4-1,32,16,"19. Archer, 32. Onuachu, 8. Smallbone, 15. Wood, 16. Sugawara, 39. Sanda, 21. Taylor, 30. Ramsdale",Medium
755,Ball in play,5372.408027,5376.717765,Own third,Left flank,Own third,Left flank,Short,4 or less,,,32,16,4,4-4-2,75,56,"15. Kiwior, 49. Lewis-Skelly",
756,Arsenal - Possessions,5372.408027,5376.717765,Own third,Left flank,Own third,Left flank,Short,4 or less,,,32,16,4,4-4-2,75,56,"15. Kiwior, 49. Lewis-Skelly",
757,Ball in play,5376.707765,5377.162423,Final third,Right flank,Final third,Right flank,Short,4 or less,,,75,56,0,5-4-1,32,3,32. Onuachu,High
758,Southampton - Possessions,5376.707765,5377.162423,Final third,Right flank,Final third,Right flank,Short,4 or less,,,75,56,0,5-4-1,32,3,32. Onuachu,High
759,Ball in play,5377.152423,5378.558982,Own third,Left flank,Own third,Left flank,Short,4 or less,,,32,3,1,4-4-2,76,52,49. Lewis-Skelly,
760,Arsenal - Possessions,5377.152423,5378.558982,Own third,Left flank,Own third,Left flank,Short,4 or less,,,32,3,1,4-4-2,76,52,49. Lewis-Skelly,
761,Ball in play,5378.548982,5382.133123,Final third,Right flank,Final third,Right flank,Short,4 or less,,,76,52,3,5-4-1,19,20,"18. Mateus Fernandes, 4. Downes",High
762,Southampton - Possessions,5378.548982,5382.133123,Final third,Right flank,Final third,Right flank,Short,4 or less,,,76,52,3,5-4-1,19,20,"18. Mateus Fernandes, 4. Downes",High
763,Southampton - Open play attacks,5378.548982,5382.133123,Final third,Right flank,Final third,Right flank,Short,4 or less,,,76,52,3,5-4-1,19,20,"18. Mateus Fernandes, 4. Downes",High
764,Ball in play,5382.123123,5390.50181,Own third,Left flank,Own third,Left flank,Short,4 or less,,,19,20,6,4-4-2,95,58,"5. Partey, 23. Mikel Merino",
765,Arsenal - Possessions,5382.123123,5390.50181,Own third,Left flank,Own third,Left flank,Short,4 or less,,,19,20,6,4-4-2,95,58,"5. Partey, 23. Mikel Merino",
766,Ball in play,5395.847706,5414.083552,Own third,Left flank,Final third,Center,Medium,5-9,Goal,less than 0.1,13,11,15,4-4-2,80,31,"8. Ødegaard, 19. Trossard",
767,Arsenal - Possessions,5395.847706,5414.083552,Own third,Left flank,Final third,Center,Medium,5-9,Goal,less than 0.1,13,11,15,4-4-2,80,31,"8. Ødegaard, 19. Trossard",
768,Arsenal - Highlights,5395.847706,5414.083552,Own third,Left flank,Final third,Center,Medium,5-9,Goal,less than 0.1,13,11,15,4-4-2,80,31,"8. Ødegaard, 19. Trossard",
769,Arsenal - Open play attacks,5395.847706,5414.083552,Own third,Left flank,Final third,Center,Medium,5-9,Goal,less than 0.1,13,11,15,4-4-2,80,31,"8. Ødegaard, 19. Trossard",
770,Arsenal - Goals,5395.847706,5414.083552,Own third,Left flank,Final third,Center,Medium,5-9,Goal,less than 0.1,13,11,15,4-4-2,80,31,"8. Ødegaard, 19. Trossard",
771,Arsenal - Shots,5395.847706,5414.083552,Own third,Left flank,Final third,Center,Medium,5-9,Goal,less than 0.1,13,11,15,4-4-2,80,31,"8. Ødegaard, 19. Trossard",
772,Ball in play,5483.672062,5491.019823,Middle third,Center,Final third,Left flank,Short,4 or less,,,54,35,7,5-4-1,19,46,"30. Ramsdale, 32. Onuachu",
773,Southampton - Possessions,5483.672062,5491.019823,Middle third,Center,Final third,Left flank,Short,4 or less,,,54,35,7,5-4-1,19,46,"30. Ramsdale, 32. Onuachu",
774,Ball in play,5491.009823,5493.334354,Own third,Right flank,Middle third,Right flank,Short,4 or less,,,19,46,1,4-4-2,69,21,5. Partey,
775,Arsenal - Possessions,5491.009823,5493.334354,Own third,Right flank,Middle third,Right flank,Short,4 or less,,,19,46,1,4-4-2,69,21,5. Partey,
776,Ball in play,5493.324354,5496.647527,Middle third,Left flank,Final third,Center,Short,4 or less,,,69,21,3,5-4-1,19,40,"4. Downes, 19. Archer",High
777,Southampton - Possessions,5493.324354,5496.647527,Middle third,Left flank,Final third,Center,Short,4 or less,,,69,21,3,5-4-1,19,40,"4. Downes, 19. Archer",High
778,Southampton - Open play attacks,5493.324354,5496.647527,Middle third,Left flank,Final third,Center,Short,4 or less,,,69,21,3,5-4-1,19,40,"4. Downes, 19. Archer",High
779,Ball in play,5496.637527,5500.25941,Own third,Center,Own third,Center,Short,4 or less,,,19,40,2,4-4-2,78,34,15. Kiwior,Low
780,Arsenal - Possessions,5496.637527,5500.25941,Own third,Center,Own third,Center,Short,4 or less,,,19,40,2,4-4-2,78,34,15. Kiwior,Low
781,Ball in play,5500.24941,5502.541951,Final third,Center,Final third,Center,Short,4 or less,,,78,34,2,5-4-1,15,35,"18. Mateus Fernandes, 19. Archer, 8. Smallbone",High
782,Southampton - Possessions,5500.24941,5502.541951,Final third,Center,Final third,Center,Short,4 or less,,,78,34,2,5-4-1,15,35,"18. Mateus Fernandes, 19. Archer, 8. Smallbone",High
